new play session: 01-01-0001 0:00:00
00:00:00-Level 2 - World tutorials
00:00:00.9843750-CIRCLE {X:1144 Y:681,6501} SQUARE {X:104 Y:137,65}
00:00:02-CIRCLE {X:1149,401 Y:719,9827} SQUARE {X:136,4701 Y:200,9471}
00:00:03-CIRCLE {X:1157,474 Y:720,0161} SQUARE {X:309,9036 Y:167,4619}
00:00:04.0156250-CIRCLE {X:1150,823 Y:720,072} SQUARE {X:600,8931 Y:167,3273}
00:00:05.0312500-CIRCLE {X:1031,809 Y:719,592} SQUARE {X:872,8742 Y:167,8861}
00:00:06.0468750-CIRCLE {X:835,2552 Y:720,0623} SQUARE {X:1096,515 Y:167,5851}
00:00:07.0468750-CIRCLE {X:635,1461 Y:719,8704} SQUARE {X:1206,425 Y:167,2845}
00:00:08.0625000-CIRCLE {X:434,8719 Y:551,4136} SQUARE {X:1211,455 Y:167,3804}
00:00:09.0781250-CIRCLE {X:234,7283 Y:404,0041} SQUARE {X:1211,381 Y:167,7805}
00:00:09.3281250-FINISH 8,35000039660372
new play session: 01-01-0001 0:00:00
00:00:00-Level 1 - World tutorials
00:00:01-CIRCLE {X:744 Y:665,3501} SQUARE {X:120 Y:681,3501}
00:00:02.0312500-CIRCLE {X:749,1307 Y:719,3316} SQUARE {X:161,5689 Y:709,2621}
00:00:03.0468750-CIRCLE {X:796,2487 Y:719,9789} SQUARE {X:339,3396 Y:709,9847}
00:00:04.0625000-CIRCLE {X:955,574 Y:719,8701} SQUARE {X:543,8999 Y:692,467}
00:00:05.0781250-FINISH 4,0800001937896
00:00:07.3281250-Level 2 - World tutorials
00:00:08.3437500-CIRCLE {X:1144 Y:680,09} SQUARE {X:104 Y:136,09}
00:00:09.3593750-CIRCLE {X:1144 Y:680,09} SQUARE {X:104 Y:136,09}
00:00:10.3906250-CIRCLE {X:1144 Y:680,09} SQUARE {X:104 Y:136,09}
00:00:11.4218750-CIRCLE {X:1144 Y:680,09} SQUARE {X:104 Y:136,09}
00:00:12.4375000-CIRCLE {X:1144 Y:680,09} SQUARE {X:104 Y:136,09}
00:00:13.4531250-CIRCLE {X:1144 Y:680,09} SQUARE {X:104 Y:136,09}
00:00:14.4687500-CIRCLE {X:1144 Y:680,09} SQUARE {X:104 Y:136,09}
00:00:15.4843750-CIRCLE {X:1144 Y:680,09} SQUARE {X:104 Y:136,09}
00:00:16.5000000-CIRCLE {X:1144 Y:680,09} SQUARE {X:104 Y:136,09}
00:00:17.5312500-CIRCLE {X:1144 Y:680,09} SQUARE {X:104 Y:136,09}
00:00:18.5625000-CIRCLE {X:1144 Y:680,09} SQUARE {X:104 Y:136,09}
00:00:19.5781250-CIRCLE {X:1144 Y:680,09} SQUARE {X:104 Y:136,09}
00:00:20.5937500-CIRCLE {X:1144 Y:680,09} SQUARE {X:104 Y:136,09}
00:00:21.6250000-CIRCLE {X:1144 Y:680,09} SQUARE {X:104 Y:136,09}
00:00:22.6562500-CIRCLE {X:1144 Y:680,09} SQUARE {X:104 Y:136,09}
00:00:23.6718750-CIRCLE {X:1144 Y:680,09} SQUARE {X:104 Y:136,09}
00:00:24.6875000-CIRCLE {X:1144 Y:680,09} SQUARE {X:104 Y:136,09}
00:00:25.7031250-CIRCLE {X:1144 Y:680,09} SQUARE {X:104 Y:136,09}
00:00:26.7187500-CIRCLE {X:1144 Y:680,09} SQUARE {X:104 Y:136,09}
00:00:27.7343750-CIRCLE {X:1144 Y:680,09} SQUARE {X:104 Y:136,09}
00:00:28.7500000-CIRCLE {X:1144 Y:680,09} SQUARE {X:104 Y:136,09}
00:00:29.7656250-CIRCLE {X:1144 Y:680,09} SQUARE {X:104 Y:136,09}
00:00:30.7812500-CIRCLE {X:1144 Y:680,09} SQUARE {X:104 Y:136,09}
00:00:31.7968750-CIRCLE {X:1144 Y:680,09} SQUARE {X:104 Y:136,09}
00:00:32.8281250-CIRCLE {X:1144 Y:680,09} SQUARE {X:104 Y:136,09}
